show,showLen,showStops,showSegues,showEncore,showBereakout,showSets,showSetsAcustic,showSetsElectric,set1Len,set1Stops,set1Segues,set1Breakouts,set2Len,set3Stops,set2Segues,set2Breakouts,set3Len,set3Stops,set3Segues,set3Breakouts,showType,linup,guests
1371,31,21,10,1,90,3,0,0,10,9,1,20,9,8,1,28,12,4,8,42,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1370,29,18,11,1,92,3,0,0,9,8,1,21,10,7,3,38,10,3,7,33,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1373,31,21,10,1,88,3,0,0,10,9,1,18,11,9,2,32,10,3,7,38,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, John Cipollina,
1372,33,22,11,1,201,3,0,0,9,9,0,16,10,8,2,38,14,5,9,147,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1375,35,19,16,2,122,3,0,0,10,9,1,20,11,6,5,39,14,4,10,63,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1374,30,19,11,1,97,3,0,0,9,8,1,18,8,6,2,39,13,5,8,40,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1377,30,20,10,1,87,3,0,0,9,8,1,20,10,8,2,37,11,4,7,30,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1376,32,19,13,1,64,3,0,0,8,8,0,10,11,6,5,22,13,5,8,32,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1379,28,19,9,1,70,3,0,0,9,8,1,18,8,7,1,25,11,4,7,27,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1378,27,15,12,1,51,3,0,0,8,7,1,12,9,6,3,20,10,2,8,19,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1342,22,12,10,2,108,2,0,0,11,8,3,63,11,4,7,45,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1343,22,12,10,1,48,2,0,0,11,8,3,21,11,4,7,27,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Lee Oskar,
1345,24,13,11,2,155,2,0,0,11,8,3,22,13,5,8,133,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1245,21,12,9,1,46,2,0,0,10,9,1,18,11,3,8,28,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
373,10,3,7,0,133,1,0,0,10,3,7,133,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
372,5,2,3,0,70,1,0,0,5,2,3,70,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
375,2,1,1,0,5,1,0,0,2,1,1,5,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
376,9,2,7,0,19,1,0,0,9,2,7,19,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,John Cipollina,
1244,19,12,7,1,51,2,0,0,9,8,1,23,10,4,6,28,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
394,13,3,10,0,54,1,0,0,13,3,10,54,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
2309,18,12,6,1,107,2,0,0,7,7,0,51,11,5,6,56,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2308,17,9,8,1,76,2,0,0,7,5,2,37,10,4,6,39,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, David Murray (sax) James Cotton (harmonica) David Murray (sax)  James Cotton (harmonica),
2301,18,9,9,1,122,2,0,0,7,7,0,63,11,2,9,59,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2300,19,10,9,1,152,2,0,0,8,8,0,69,11,2,9,83,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2303,19,11,8,1,121,2,0,0,8,8,0,83,11,3,8,38,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
